Title,Link,Votes
"Insecure vehicles should be banned, not security tools like the Flipper Zero (saveflipper.ca)",https://saveflipper.ca/,1484
"Thanks FedEx, This Is Why We Keep Getting Phished (troyhunt.com)",https://www.troyhunt.com/thanks-fedex-this-is-why-we-keep-getting-phished/,1301
Gemma: New Open Models (blog.google),https://blog.google/technology/developers/gemma-open-models/,1123
The killer app of Gemini Pro 1.5 is using video as an input (simonwillison.net),https://simonwillison.net/2024/Feb/21/gemini-pro-video/,1116
Stable Diffusion 3 (stability.ai),https://stability.ai/news/stable-diffusion-3,954
Nobody ever gets credit for fixing problems that never happened (2001) [pdf] (web.mit.edu),https://web.mit.edu/nelsonr/www/Repenning=Sterman_CMR_su01_.pdf,888
Vice website is shutting down (writing.exchange),https://writing.exchange/@ernie/111977450241144169,778
Bluesky announces data federation for self hosters (bsky.social),https://bsky.social/about/blog/02-22-2024-open-social-web,705
Phind-70B: Closing the code quality gap with GPT-4 Turbo while running 4x faster (phind.com),https://www.phind.com/blog/introducing-phind-70b,589
Private company landing on the moon today (intuitivemachines.com),https://www.intuitivemachines.com/im-1,489
"Cellular outage in U.S. hits AT&T, T-Mobile and Verizon users (cnbc.com)",https://www.cnbc.com/2024/02/22/cellular-outage-in-us-hits-att-t-mobile-and-verizon-users-downdetector-shows-.html,470
Intuitive Machines successfully lands on the Moon (theguardian.com),https://www.theguardian.com/science/live/2024/feb/22/nasa-odysseus-moon-landing-intuitive-machines,429
Show HN: Real-time image generation with SDXL Lightning (fastsdxl.ai),https://fastsdxl.ai/,396
I turned my ThinkPad into a programmable USB device (xairy.io),https://xairy.io/articles/thinkpad-xdci,344
Things unexpectedly named after people (2020) (rolandcrosby.com),https://notes.rolandcrosby.com/posts/unexpectedly-eponymous/,344
JavaScript Bloat in 2024 (tonsky.me),https://tonsky.me/blog/js-bloat/,342
Launch HN: Retell AI (YC W24) – Conversational Speech API for Your LLM,item?id=39453402,337
Show HN: Pages CMS – A CMS for GitHub (pagescms.org),https://pagescms.org,323
Intel Processor Instability Causing Oodle Decompression Failures (radgametools.com),https://www.radgametools.com/oodleintel.htm,311
Unexpected responses from ChatGPT: Incident Report (status.openai.com),https://status.openai.com/incidents/ssg8fh7sfyz3,288
The Xylophone Maze: Screen-free coding for children (20y.hu),https://20y.hu/~slink/journal/xylophone-duplo/,269
Beyond A*: Better Planning with Transformers (arxiv.org),https://arxiv.org/abs/2402.14083,255
Nuclear SMR welding breakthrough (newatlas.com),https://newatlas.com/energy/nuclear-reactor-weld-one-day/,248
The Billion Row Challenge (1BRC) – Step-by-Step from 71s to 1.7s (questdb.io),https://questdb.io/blog/billion-row-challenge-step-by-step/,247
"Gemma.cpp: lightweight, standalone C++ inference engine for Gemma models (github.com/google)",https://github.com/google/gemma.cpp,241
German Bundestag Passes Cannabis Legalization (bundestag.de),https://www.bundestag.de/dokumente/textarchiv/2024/kw08-de-cannabis-990684,234
Launch HN: Danswer (YC W24) – Open-source AI search and chat over private data,item?id=39467413,222
Facial recognition error message on vending machine sparks concern at University (ctvnews.ca),https://kitchener.ctvnews.ca/facial-recognition-error-message-on-vending-machine-sparks-concern-at-university-of-waterloo-1.6779835,213
Satoshi – Sirius emails 2009-2011 (mmalmi.github.io),https://mmalmi.github.io/satoshi/,204
Auth0 OSS alternative Ory Kratos now with passwordless and SMS support (github.com/ory),https://github.com/ory/kratos/releases/tag/v1.1.0,200
The Fed is behind the Capital One/Discover merger (thebignewsletter.com),https://www.thebignewsletter.com/p/the-fed-is-behind-the-capital-onediscover,196
"Show HN: OK-Robot: open, modular home robot framework for pick-and-drop anywhere (ok-robot.github.io)",https://ok-robot.github.io/,193
High Interest Savings Leaderboard (highinterest.io),https://www.highinterest.io/,189
"Reading ""A Programmer's Guide to Common Lisp"" (paoloamoroso.com)",https://journal.paoloamoroso.com/reading-a-programmers-guide-to-common-lisp,189
Form to DB (formtodb.com),https://www.formtodb.com/,188
Data will not tell you what to do (mikkeldengsoe.substack.com),https://mikkeldengsoe.substack.com/p/data-will-not-tell-you-what-to-do,178
"Jim Keller criticizes Nvidia's CUDA, x86 (tomshardware.com)",https://www.tomshardware.com/tech-industry/artificial-intelligence/jim-keller-criticizes-nvidias-cuda-and-x86-cudas-a-swamp-not-a-moat-x86-was-a-swamp-too,167
Did fermented foods fuel brain growth? (news.harvard.edu),https://news.harvard.edu/gazette/story/2024/02/did-fermented-foods-fuel-brain-growth,157
A peek at Intel's future foundry tech (ieee.org),https://spectrum.ieee.org/intel-18a,156
"Show HN: Supermaven, the first code completion tool with 300k token context (supermaven.com)",https://supermaven.com/blog/introducing-supermaven,151
APL at Volvo (dyalog.com),https://www.dyalog.com/case-studies/hercules.htm,148
SN Pro Typeface (supernotes.app),https://supernotes.app/open-source/sn-pro/,147
The code worked differently when the moon was full (2021) (hanselman.com),https://www.hanselman.com/blog/the-code-worked-differently-when-the-moon-was-full,139
LongRoPE: Extending LLM Context Window Beyond 2M Tokens (arxiv.org),https://arxiv.org/abs/2402.13753,135
A Distributed File System in Go Cut Average Metadata Memory Usage to 100 Bytes (juicefs.com),https://juicefs.com/en/blog/engineering/reduce-metadata-memory-usage,129
"Math, Physics, and Engineering Applets (falstad.com)",http://falstad.com/mathphysics.html,128
Mamba: The Easy Way (jackcook.com),https://jackcook.com/2024/02/23/mamba.html,126
Why Writing by Hand Is Better for Memory and Learning (scientificamerican.com),https://www.scientificamerican.com/article/why-writing-by-hand-is-better-for-memory-and-learning/,125
Yale will again require standardized test scores for admission (washingtonpost.com),https://www.washingtonpost.com/education/2024/02/22/yale-sat-act-admissions-requirement-reinstated/,124
U.S. to invest billions to replace China-made cranes at nation's ports (wsj.com),https://www.wsj.com/politics/national-security/u-s-to-invest-billions-to-replace-china-made-cranes-at-nations-ports-d451ef8f,122
Replacement PCB Replicates Early 80s Modem (tempestfpga.com),https://tempestfpga.com/,118
"After 14 years in the industry, I still find programming difficult (piglei.com)",https://www.piglei.com/articles/en-programming-is-still-hard-after-14-years/,116
Nvidia hits $2T valuation as AI frenzy grips Wall Street (reuters.com),https://www.reuters.com/technology/global-markets-marketcap-pix-2024-02-23/,113
The Fossil Sync Protocol (fossil-scm.org),https://fossil-scm.org/home/doc/trunk/www/sync.wiki,112
New code for SIGILL faults to help identify misbranches on OpenBSD (undeadly.org),https://www.undeadly.org/cgi?action=article;sid=20240222183703,111
Graphic Presentation (1939) (archive.org),https://archive.org/details/graphicpresentat00brinrich,108
I don't think the cheapest APC Back-UPS units can be monitored except in Windows (strugglers.net),https://strugglers.net/~andy/blog/2024/02/23/i-dont-think-the-cheapest-apc-back-ups-units-can-be-monitored-except-in-windows/,107
Brave's AI assistant now integrates with PDFs and Google Drive (brave.com),https://brave.com/leo-docsupport/,103
